id,name,cb_cluster,player_role
473118,M. Folorunsho,0,Ball-winning midfielder
475484,C. Niasse,0,Ball-winning midfielder
475495,M. Kofod Andersen,3,Scoring midfielder
475585,A. Seko,0,Ball-winning midfielder
477166,N. Domínguez,0,Ball-winning midfielder
477413,Jandro Orellana,3,Scoring midfielder
478707,Éderson,1,Box-to-box midfielder
479390,J. Sands,0,Ball-winning midfielder
479546,A. Schäfer,0,Ball-winning midfielder
481336,Sidnei Tavares,0,Ball-winning midfielder
481772,Martín Zubimendi,1,Box-to-box midfielder
482175,P. Osterhage,0,Ball-winning midfielder
482768,F. Downes,0,Ball-winning midfielder
485414,Vini Souza,0,Ball-winning midfielder
486637,B. Gilmour,2,Deep-lying playmaking midfielder
491335,Miguel Reisinho,3,Scoring midfielder
495008,P. Ciss,1,Box-to-box midfielder
495106,Miguel Sousa,1,Box-to-box midfielder
495152,S. Tonali,1,Box-to-box midfielder
496724,T. Anjorin,3,Scoring midfielder
497090,T. Reijnders,3,Scoring midfielder
497171,F. Becker,1,Box-to-box midfielder
497189,G. Busio,0,Ball-winning midfielder
499894,Luís Esteves,1,Box-to-box midfielder
500127,Marc Aguado,1,Box-to-box midfielder
500276,Y. Fofana,1,Box-to-box midfielder
500415,M. Payero,0,Ball-winning midfielder
505537,J. Niehues,1,Box-to-box midfielder
506104,N. Fagioli,1,Box-to-box midfielder
506145,A. Stiller,2,Deep-lying playmaking midfielder
506331,K. Thuram,3,Scoring midfielder
506333,O. Kökçü,2,Deep-lying playmaking midfielder
508736,N. Seiwald,1,Box-to-box midfielder
508816,R. Gravenberch,1,Box-to-box midfielder
508915,W. Burger,3,Scoring midfielder
508986,H. Massengo,0,Ball-winning midfielder
509277,T. Krauß,1,Box-to-box midfielder
509320,Fábio Vieira,3,Scoring midfielder
509652,Adrián Bernabé,3,Scoring midfielder
513361,T. Tessmann,1,Box-to-box midfielder
514400,S. Cissé,0,Ball-winning midfielder
517599,L. da Cunha,2,Deep-lying playmaking midfielder
517673,M. Frendrup,0,Ball-winning midfielder
518971,Oier Zarraga,0,Ball-winning midfielder
519271,S. Sohm,3,Scoring midfielder
519889,E. Le Fée,0,Ball-winning midfielder
523522,Adriano Firmino,1,Box-to-box midfielder
523935,Jon Moncayola,1,Box-to-box midfielder
