id,name,cb_cluster,player_role
-142046,D. Ghilardi,0,Ball-stealing CB
-141512,Murillo,0,Ball-stealing CB
-140288,M. van de Ven,3,Low-impact CB
-139889,L. Marianucci,2,Aerial dominant CB
-139688,Gabriel Pereira,3,Low-impact CB
-138267,Otávio,1,Ball-playing CB
-138145,E. Agbadou,3,Low-impact CB
-137390,T. Oermann,0,Ball-stealing CB
-136961,Manu,0,Ball-stealing CB
-136894,C. Özkacar,3,Low-impact CB
-136704,J. Quansah,1,Ball-playing CB
-135524,Cristhian Mosquera,3,Low-impact CB
-135504,S. Baidoo,0,Ball-stealing CB
-135427,N. Collins,1,Ball-playing CB
-134973,J. Greaves,2,Aerial dominant CB
-134252,L. Colwill,1,Ball-playing CB
-134018,C. Akpa,3,Low-impact CB
-133880,Jota Gonçalves,1,Ball-playing CB
-133800,S. Sow,0,Ball-stealing CB
-130879,Daniel Elfadli,3,Low-impact CB
-128950,Zé Vitor,0,Ball-stealing CB
-126216,A. Hajdari,0,Ball-stealing CB
-125826,A. N'Diaye,0,Ball-stealing CB
-120147,É. Youté,3,Low-impact CB
-118836,J. Branthwaite,2,Aerial dominant CB
-117660,W. Singo,0,Ball-stealing CB
-116593,O. Kossounou,3,Low-impact CB
-115795,Rafa Marín,3,Low-impact CB
-115791,S. Coulibaly,1,Ball-playing CB
-115250,Bernardo Vital,2,Aerial dominant CB
-115069,Alexsandro,1,Ball-playing CB
-113931,N. Capaldo,0,Ball-stealing CB
-113909,MT,2,Aerial dominant CB
-111217,Natan,2,Aerial dominant CB
-110585,D. Nemeth,3,Low-impact CB
-109736,Arthur Chaves,0,Ball-stealing CB
-109490,Chico Lamba,1,Ball-playing CB
-109460,Eduardo Quaresma,1,Ball-playing CB
-105826,B. Diakité,1,Ball-playing CB
-105412,Toti,1,Ball-playing CB
-105319,J. van Hecke,1,Ball-playing CB
-105241,I. Zabarnyi,1,Ball-playing CB
-104777,C. Lukeba,1,Ball-playing CB
-103405,Tomás Araújo,1,Ball-playing CB
-102328,A. Al Dakhil,0,Ball-stealing CB
-101846,M. Estève,0,Ball-stealing CB
-101341,B. Balogh,0,Ball-stealing CB
-101008,A. Omobamidele,0,Ball-stealing CB
-99733,M. Faye,3,Low-impact CB
-99570,M. Senaya,2,Aerial dominant CB
-99492,R. Hranáč,2,Aerial dominant CB
